,BLEU,rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure,METEOR,BERT_precision,BERT_recall,BERT_f1,Perplexity
0,0.04634432462129001,0.6896551724137931,0.26229508196721313,0.3800475059382423,0.21739130434782608,0.08223684210526316,0.11933174224343678,0.3879310344827586,0.14754098360655737,0.2137767220902613,0.2140583643588696,0.8609579205513,0.8304241895675659,0.8454154133796692,90.99999999999997
1,0.017183368765819825,0.7339449541284404,0.24096385542168675,0.36281179138322,0.26851851851851855,0.08761329305135952,0.13211845102505695,0.45871559633027525,0.15060240963855423,0.2267573696145125,0.16616192790145054,0.8640346527099609,0.8216672539710999,0.8423185348510742,82.00000000000001
2,0.0924219469743753,0.54,0.45,0.49090909090909096,0.20134228187919462,0.16759776536312848,0.18292682926829268,0.35333333333333333,0.29444444444444445,0.3212121212121212,0.24519280819437658,0.8738317489624023,0.8684453964233398,0.8711302280426025,81.00000000000003
3,0.031200831113168643,0.7154471544715447,0.35918367346938773,0.47826086956521735,0.18032786885245902,0.09016393442622951,0.12021857923497269,0.36585365853658536,0.1836734693877551,0.24456521739130435,0.2450814156910241,0.8781421780586243,0.8395403027534485,0.8584074378013611,83.00000000000003
4,0.09509139586544924,0.6363636363636364,0.4642857142857143,0.5368731563421829,0.2323943661971831,0.16923076923076924,0.19584569732937687,0.4195804195804196,0.30612244897959184,0.3539823008849558,0.31416104338925865,0.8791360855102539,0.855796754360199,0.8673094511032104,95.99999999999999
5,0.0934730403351123,0.5951219512195122,0.47470817120622566,0.5281385281385281,0.1715686274509804,0.13671875,0.15217391304347827,0.3121951219512195,0.2490272373540856,0.27705627705627706,0.2739041358633179,0.8642807602882385,0.8580981492996216,0.8611783385276794,114.00000000000003
6,0.06545840834381127,0.625,0.37037037037037035,0.4651162790697674,0.17721518987341772,0.1044776119402985,0.13145539906103285,0.375,0.2222222222222222,0.27906976744186046,0.29246971044829956,0.880486249923706,0.8485257625579834,0.8642106056213379,59.999999999999986
7,0.054796790589468035,0.4461538461538462,0.16111111111111112,0.236734693877551,0.03125,0.0111731843575419,0.01646090534979424,0.2153846153846154,0.07777777777777778,0.11428571428571428,0.09894338594812926,0.8410782814025879,0.829367995262146,0.8351820707321167,64.99999999999999
8,0.049511075925421345,0.6272727272727273,0.3026315789473684,0.40828402366863903,0.22018348623853212,0.10572687224669604,0.14285714285714288,0.35454545454545455,0.17105263157894737,0.23076923076923078,0.19066715219268981,0.8618427515029907,0.8389756083488464,0.8502554297447205,81.00000000000003
9,0.09578388667020957,0.5909090909090909,0.325,0.41935483870967744,0.14942528735632185,0.08176100628930817,0.1056910569105691,0.29545454545454547,0.1625,0.20967741935483872,0.22690470725472506,0.8613125681877136,0.8376786708831787,0.8493312001228333,72.99999999999999
10,0.08925944748285568,0.7235772357723578,0.3755274261603376,0.49444444444444446,0.30327868852459017,0.15677966101694915,0.20670391061452512,0.4715447154471545,0.24472573839662448,0.32222222222222224,0.260389503586663,0.8818233013153076,0.85051029920578,0.8658837676048279,81.00000000000003
11,0.06518381558685962,0.33663366336633666,0.6335403726708074,0.4396551724137931,0.09602649006622517,0.18125,0.12554112554112554,0.1782178217821782,0.33540372670807456,0.23275862068965517,0.3360753481079933,0.8513014316558838,0.8561205863952637,0.8537042140960693,114.00000000000003
12,0.2587164379010623,0.7217391304347827,0.5533333333333333,0.6264150943396226,0.34210526315789475,0.26174496644295303,0.2965779467680608,0.45217391304347826,0.3466666666666667,0.3924528301886792,0.4181126092964558,0.9039230346679688,0.8823423981666565,0.8930023908615112,81.99999999999994
13,0.04602688749829404,0.5555555555555556,0.30927835051546393,0.3973509933774834,0.09345794392523364,0.05181347150259067,0.06666666666666667,0.3055555555555556,0.17010309278350516,0.2185430463576159,0.1985802149307708,0.8604031205177307,0.8400123119354248,0.8500854969024658,83.99999999999999
14,0.049923611632306686,0.6891891891891891,0.3148148148148148,0.4322033898305085,0.2653061224489796,0.12074303405572756,0.16595744680851066,0.4594594594594595,0.20987654320987653,0.288135593220339,0.20535629201829317,0.8699983954429626,0.839631974697113,0.8545454740524292,97.0
15,0.1514574097357387,0.6083333333333333,0.4591194968553459,0.5232974910394266,0.23529411764705882,0.17721518987341772,0.20216606498194947,0.375,0.2830188679245283,0.32258064516129037,0.3272649009976199,0.8939641714096069,0.8881362676620483,0.8910406827926636,82.00000000000001
16,0.22560787252318285,0.5,0.5185185185185185,0.509090909090909,0.23423423423423423,0.24299065420560748,0.23853211009174313,0.38392857142857145,0.39814814814814814,0.39090909090909093,0.46584806725976297,0.8711150288581848,0.8892749547958374,0.8801012635231018,83.99999999999999
17,0.09920899729379237,0.4068627450980392,0.47701149425287354,0.4391534391534392,0.09852216748768473,0.11560693641618497,0.10638297872340426,0.23039215686274508,0.27011494252873564,0.24867724867724866,0.29710115131578946,0.848754346370697,0.8507767915725708,0.8497644066810608,110.99999999999997
18,0.1497780365024038,0.5394736842105263,0.543046357615894,0.5412541254125414,0.1986754966887417,0.2,0.1993355481727575,0.34210526315789475,0.3443708609271523,0.3432343234323433,0.39474582067537184,0.8854882717132568,0.872258722782135,0.8788237571716309,90.99999999999997
19,0.03539339778314717,0.5696969696969697,0.4104803493449782,0.4771573604060914,0.13414634146341464,0.09649122807017543,0.11224489795918367,0.26666666666666666,0.19213973799126638,0.2233502538071066,0.23683128158734024,0.867127001285553,0.8406878709793091,0.8537027835845947,98.00000000000004
20,0.10026408776444783,0.3333333333333333,0.5042735042735043,0.40136054421768713,0.10795454545454546,0.16379310344827586,0.13013698630136986,0.23728813559322035,0.358974358974359,0.28571428571428575,0.2796351398657035,0.866368293762207,0.859562337398529,0.8629518747329712,98.00000000000004
21,0.11339663008331204,0.6224489795918368,0.391025641025641,0.48031496062992124,0.2268041237113402,0.14193548387096774,0.17460317460317462,0.4387755102040816,0.27564102564102566,0.33858267716535434,0.2902250670420361,0.8880374431610107,0.8644353747367859,0.87607741355896,69.00000000000001
22,0.14579608990578355,0.5176470588235295,0.4631578947368421,0.48888888888888893,0.19047619047619047,0.1702127659574468,0.17977528089887637,0.35294117647058826,0.3157894736842105,0.33333333333333337,0.31775,0.8777726292610168,0.8768389821052551,0.8773055076599121,64.99999999999999
23,0.080692433731958,0.544,0.5074626865671642,0.525096525096525,0.1285140562248996,0.1198501872659176,0.12403100775193797,0.252,0.23507462686567165,0.24324324324324326,0.2821214071214071,0.863237738609314,0.845361590385437,0.8542061448097229,142.00000000000003
24,0.03864382391724346,0.7425742574257426,0.2862595419847328,0.41322314049586784,0.23,0.08812260536398467,0.12742382271468145,0.44554455445544555,0.1717557251908397,0.2479338842975207,0.1635495411900599,0.8731592893600464,0.8541173338890076,0.8635333776473999,77.00000000000001
25,0.03012374434395511,0.7218543046357616,0.2794871794871795,0.4029574861367837,0.25333333333333335,0.09768637532133675,0.14100185528756956,0.3841059602649007,0.14871794871794872,0.21441774491682072,0.17504792556994175,0.8762457966804504,0.8422608375549316,0.8589172959327698,99.99999999999996
26,0.08723311869744049,0.7403846153846154,0.3888888888888889,0.5099337748344371,0.2524271844660194,0.1319796954314721,0.17333333333333334,0.4326923076923077,0.22727272727272727,0.29801324503311255,0.25739219507801,0.8737876415252686,0.8568470478057861,0.8652344346046448,76.0
27,0.021512644813868536,0.782051282051282,0.23282442748091603,0.3588235294117647,0.3116883116883117,0.09195402298850575,0.14201183431952663,0.5384615384615384,0.16030534351145037,0.24705882352941175,0.12953979561480997,0.8799229264259338,0.847582995891571,0.8634502291679382,59.999999999999986
28,0.07505923907129333,0.4845360824742268,0.3821138211382114,0.4272727272727273,0.15625,0.12295081967213115,0.13761467889908255,0.3402061855670103,0.2682926829268293,0.3,0.2344466571834993,0.8515902757644653,0.8470420837402344,0.8493101000785828,71.0
